City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Seoul,KR,2020-08-30 02:25:39,37.57,126.98,84.2,83,75,1.86
70,Charlottesville,US,2020-08-30 02:24:57,38.03,-78.48,79.0,61,40,4.7
71,Victoria,HK,2020-08-30 02:27:00,22.29,114.16,89.01,66,20,4.0
72,Hof,DE,2020-08-30 02:27:00,50.32,11.92,55.0,96,100,2.62
73,Manyana,BW,2020-08-30 02:27:00,-23.4,21.72,41.63,63,0,11.43
74,Chilliwack,CA,2020-08-30 02:23:02,49.17,-121.94,64.4,45,20,6.93
75,Punta Arenas,CL,2020-08-30 02:27:00,-53.15,-70.92,37.4,82,70,17.22
76,Kushiro,JP,2020-08-30 02:27:01,42.98,144.37,53.6,100,75,6.93
77,Saldanha,ZA,2020-08-30 02:27:01,-33.01,17.94,35.6,63,13,1.12
78,Nikolskoye,RU,2020-08-30 02:27:01,59.7,30.79,53.6,87,75,11.18
79,Vaini,TO,2020-08-30 02:27:01,-21.2,-175.2,80.6,78,40,10.29
80,Iwanai,JP,2020-08-30 02:27:01,42.97,140.51,62.83,88,100,5.95
81,Nerchinskiy Zavod,RU,2020-08-30 02:27:01,51.31,119.61,52.32,95,100,2.93
82,San Antero,CO,2020-08-30 02:27:02,9.37,-75.76,78.51,89,83,7.09
83,Krasnoselkup,RU,2020-08-30 02:27:02,65.7,82.47,53.51,91,100,9.04
84,Chuy,UY,2020-08-30 02:27:02,-33.7,-53.46,51.78,87,98,13.11
85,Dunedin,NZ,2020-08-30 02:26:59,-45.87,170.5,59.41,53,65,17.0
86,Smithers,CA,2020-08-30 02:27:02,54.78,-127.17,55.4,71,75,6.93
87,Oksovskiy,RU,2020-08-30 02:27:02,62.61,39.9,49.33,95,100,7.43
88,Emba,KZ,2020-08-30 02:27:03,48.83,58.14,73.02,29,100,10.47
89,Bauru,BR,2020-08-30 02:25:14,-22.31,-49.06,78.8,44,0,1.12
90,Korla,CN,2020-08-30 02:27:03,41.76,86.15,71.73,30,1,6.67
91,Bulgan,MN,2020-08-30 02:27:03,48.81,103.53,55.35,73,99,3.36
92,Pangnirtung,CA,2020-08-30 02:27:04,66.15,-65.71,42.8,87,5,5.82
93,Avallon,FR,2020-08-30 02:22:35,47.48,3.9,52.45,94,80,4.18
94,Nyurba,RU,2020-08-30 02:27:04,63.28,118.33,61.86,63,100,3.58
95,Sibolga,ID,2020-08-30 02:27:04,1.74,98.78,84.04,68,80,0.74
96,Fare,PF,2020-08-30 02:27:04,-16.7,-151.02,78.44,75,0,23.06
97,Los Llanos De Aridane,ES,2020-08-30 02:27:04,28.66,-17.92,73.4,69,75,18.34
98,Narimanov,RU,2020-08-30 02:27:05,46.69,47.85,64.0,72,29,6.71
99,Codrington,AU,2020-08-30 02:27:05,-38.27,141.97,56.35,78,100,17.07
100,Padang,ID,2020-08-30 02:27:05,-0.95,100.35,83.8,65,100,2.82
101,Nova Olimpia,BR,2020-08-30 02:27:05,-14.8,-57.29,81.93,19,0,5.82
102,Seymchan,RU,2020-08-30 02:27:05,62.88,152.43,50.31,57,90,2.44
103,Dali,CN,2020-08-30 02:27:05,25.7,100.18,66.07,84,100,1.99
104,Qaanaaq,GL,2020-08-30 02:27:06,77.48,-69.36,30.88,83,0,5.3
105,Cabo San Lucas,MX,2020-08-30 02:24:13,22.89,-109.91,81.0,94,90,3.36
106,Butaritari,KI,2020-08-30 02:27:06,3.07,172.79,84.0,68,37,10.42
107,Margate,GB,2020-08-30 02:26:21,51.38,1.39,61.0,89,100,8.01
108,Nantucket,US,2020-08-30 02:22:54,41.28,-70.1,71.6,94,90,12.75
109,Ada,US,2020-08-30 02:27:06,43.42,-116.13,86.0,15,1,4.7
110,Arraial Do Cabo,BR,2020-08-30 02:25:27,-22.97,-42.03,71.96,87,0,26.33
111,Mikhaylovskoye,RU,2020-08-30 02:27:06,51.82,79.72,66.29,49,0,4.88
112,Atasu,KZ,2020-08-30 02:27:06,48.68,71.64,62.82,47,0,7.92
113,Adrar,MR,2020-08-30 02:27:07,20.5,-10.07,92.39,13,26,16.55
114,Ostrovnoy,RU,2020-08-30 02:27:07,68.05,39.51,47.37,90,100,4.03
115,Mehamn,NO,2020-08-30 02:27:07,71.04,27.85,48.69,76,53,9.82
116,Tvedestrand,NO,2020-08-30 02:27:07,58.62,8.93,44.6,100,0,5.82
117,Kyshtovka,RU,2020-08-30 02:27:07,56.55,76.63,57.16,86,100,3.02
118,Anadyr,RU,2020-08-30 02:27:07,64.75,177.48,53.6,58,75,6.71
119,Esperance,AU,2020-08-30 02:27:07,-33.87,121.9,55.4,71,90,6.93
120,Bilma,NE,2020-08-30 02:27:08,18.69,12.92,85.53,53,49,19.44
121,Kawalu,ID,2020-08-30 02:27:08,-7.38,108.21,76.53,72,72,3.06
122,Mahebourg,MU,2020-08-30 02:27:08,-20.41,57.7,69.8,73,40,14.99
