City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Port Elizabeth,ZA,-33.92,25.57,60.8,44,28,8.05,scattered clouds
83,Awbari,LY,26.59,12.78,104.18,10,0,16.53,clear sky
84,Shingu,JP,33.73,135.98,77.11,83,0,2.91,clear sky
85,Hobart,AU,-42.88,147.33,39.2,80,12,8.05,light snow
86,Punta Arenas,CL,-53.15,-70.92,42.8,70,40,23.04,scattered clouds
87,Kahului,US,20.89,-156.47,77.0,73,1,6.93,clear sky
88,Krasnoye,UA,49.91,24.61,78.8,39,97,8.95,overcast clouds
89,Boa Vista,BR,2.82,-60.67,86.0,62,75,2.24,broken clouds
90,Yellowknife,CA,62.46,-114.35,44.6,70,40,10.29,scattered clouds
91,Bilibino,RU,68.05,166.44,38.98,79,96,6.64,overcast clouds
92,Victoria,HK,22.29,114.16,86.0,80,11,5.12,few clouds
93,Vitoria De Santo Antao,BR,-8.12,-35.29,84.2,58,40,17.22,scattered clouds
94,Saint-Philippe,RE,-21.36,55.77,71.6,73,39,4.7,light rain
95,Butaritari,KI,3.07,172.79,82.98,76,1,10.38,light rain
96,Nikolskoye,RU,59.7,30.79,62.6,72,20,4.47,light rain
97,Tiko,CM,4.07,9.37,80.6,83,75,5.82,thunderstorm
98,Oum Hadjer,TD,13.3,19.7,81.39,68,100,8.37,overcast clouds
99,Chokurdakh,RU,70.63,147.92,39.63,90,100,8.34,overcast clouds
100,Talnakh,RU,69.49,88.4,46.4,93,90,4.47,mist
101,Alofi,NU,-19.06,-169.92,77.0,78,75,11.41,broken clouds
102,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.0,77,90,13.87,overcast clouds
103,Soyo,AO,-6.13,12.37,75.2,69,20,9.17,few clouds
104,Iqaluit,CA,63.75,-68.51,53.6,66,20,14.99,few clouds
105,Basco,PH,20.45,121.97,84.38,78,100,20.69,overcast clouds
106,Gat,IL,31.61,34.76,89.01,32,0,1.99,clear sky
107,Koutsouras,GR,35.03,25.95,84.49,53,0,6.87,clear sky
108,Barra Do Bugres,BR,-15.07,-57.18,109.8,11,0,1.43,clear sky
109,Bichura,RU,50.59,107.6,50.58,82,88,4.43,overcast clouds
110,Udachnyy,RU,66.42,112.4,46.4,75,90,4.47,smoke
111,Chipata,ZM,-13.63,32.65,77.52,24,0,8.12,clear sky
112,Tecoanapa,MX,16.52,-98.75,85.39,67,3,1.45,clear sky
113,Hilo,US,19.73,-155.09,71.6,83,1,4.7,clear sky
114,Karonga,MW,-9.93,33.93,74.25,67,0,3.56,clear sky
115,Cape Town,ZA,-33.93,18.42,54.0,87,75,8.05,light rain
116,Bethel,US,41.37,-73.41,71.01,52,1,1.92,clear sky
117,Dikson,RU,73.51,80.55,43.7,98,99,9.42,overcast clouds
118,San Cristobal,VE,7.77,-72.22,80.6,78,40,6.93,moderate rain
119,Cherskiy,RU,68.75,161.3,35.4,93,100,2.26,overcast clouds
120,Ancud,CL,-41.87,-73.82,50.0,91,7,7.0,clear sky
121,Saldanha,ZA,-33.01,17.94,55.24,79,46,3.65,light rain
122,Saskylakh,RU,71.92,114.08,49.32,72,89,7.9,overcast clouds
123,Katsuura,JP,35.13,140.3,75.2,94,75,14.99,broken clouds
124,Arraial Do Cabo,BR,-22.97,-42.03,78.8,78,49,18.34,scattered clouds
125,Bindura,ZW,-17.3,31.33,75.51,34,23,10.47,few clouds
126,Ulaanbaatar,MN,47.91,106.88,48.2,87,40,2.24,scattered clouds
127,Namibe,AO,-15.2,12.15,68.0,72,40,13.87,scattered clouds
128,Namatanai,PG,-3.67,152.43,80.01,85,44,6.13,light rain
129,Tuktoyaktuk,CA,69.45,-133.04,44.6,93,90,13.87,overcast clouds
130,Lorengau,PG,-2.02,147.27,82.04,77,14,6.15,light rain
131,Jumla,NP,29.27,82.18,62.65,73,67,0.87,broken clouds
132,Bellevue,US,47.61,-122.2,57.0,93,90,3.36,haze
133,Bengkulu,ID,-3.8,102.27,77.88,89,91,8.5,overcast clouds
134,Porto Santo,PT,33.07,-16.34,75.2,60,40,18.34,scattered clouds
135,Coolum Beach,AU,-26.53,153.1,55.99,92,0,1.01,clear sky
136,Sangar,RU,63.92,127.47,47.07,90,93,4.12,overcast clouds
137,Maceio,BR,-9.67,-35.74,78.8,78,75,11.41,shower rain
138,Izumo,JP,35.37,132.77,80.6,83,75,11.41,broken clouds
139,East London,ZA,-33.02,27.91,62.6,42,0,12.75,clear sky
140,Ust-Kuyga,RU,70.02,135.6,39.54,79,0,1.92,clear sky
141,Berlevag,NO,70.86,29.09,51.8,53,99,10.29,overcast clouds
142,Lagunas,PE,-5.23,-75.68,88.77,54,90,2.84,overcast clouds
143,Kapaa,US,22.08,-159.32,75.99,78,90,13.87,overcast clouds
144,Ayagoz,KZ,47.97,80.44,66.06,34,0,12.84,clear sky
145,Vrangel,RU,42.73,133.08,59.05,82,8,13.27,clear sky
146,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,41.0,100,2,6.71,clear sky
147,Firovo,RU,57.48,33.7,60.44,98,100,1.68,heavy intensity rain
148,Bredasdorp,ZA,-34.53,20.04,55.4,82,50,5.82,light rain
149,Orange,US,33.7,-117.77,68.0,72,90,3.36,overcast clouds
150,Thompson,CA,55.74,-97.86,46.4,93,75,13.87,broken clouds
151,Mogadishu,SO,2.04,45.34,78.26,83,54,17.22,broken clouds
152,Obo,CF,5.4,26.49,74.64,92,79,1.88,light rain
153,Zonguldak,TR,41.25,31.83,72.46,69,0,3.06,clear sky
154,Flinders,AU,-34.58,150.86,54.0,71,81,1.01,broken clouds
155,Saint Stephen,GB,50.33,-4.9,64.4,59,40,4.7,scattered clouds
156,Katherine,AU,-14.47,132.27,82.4,39,75,9.17,broken clouds
157,Hermanus,ZA,-34.42,19.23,55.99,74,20,3.0,light rain
158,Carnarvon,AU,-24.87,113.63,68.0,77,90,12.75,overcast clouds
159,Lafayette,US,30.23,-92.07,89.01,74,75,12.75,broken clouds
160,Auka,HN,14.93,-83.83,89.6,70,3,6.93,clear sky
161,Quatre Cocos,MU,-20.21,57.76,73.0,88,40,11.41,shower rain
162,Tual,ID,-5.67,132.75,78.93,87,58,18.07,broken clouds
163,Kashi,CN,39.45,75.98,75.2,29,100,6.71,overcast clouds
164,Deniliquin,AU,-35.53,144.97,39.0,85,0,3.98,clear sky
165,Kampene,CD,-3.6,26.67,74.79,87,58,1.3,light rain
166,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,few clouds
167,Broken Hill,AU,-31.95,141.43,46.4,58,0,5.82,clear sky
168,Verkh-Usugli,RU,52.7,115.17,47.68,95,96,2.39,overcast clouds
169,San Juan Ixcoy,GT,15.6,-91.45,68.77,34,0,7.58,clear sky
170,Paracatu,BR,-17.22,-46.87,91.04,26,5,9.48,clear sky
171,Salym,RU,60.06,71.48,56.43,91,15,6.33,few clouds
172,Mchinji,MW,-13.8,32.88,76.41,25,0,7.18,clear sky
173,Yangcun,CN,39.36,117.06,77.0,57,64,4.47,light rain
174,Marzuq,YE,14.4,46.47,85.05,39,77,1.88,broken clouds
175,Waipawa,NZ,-41.41,175.52,55.4,71,100,26.4,overcast clouds
176,Avarua,CK,-21.21,-159.78,71.6,64,88,5.82,overcast clouds
177,Lompoc,US,34.64,-120.46,57.2,93,90,2.04,mist
178,Chauk,MM,20.88,94.82,80.64,86,100,1.86,overcast clouds
179,Klaksvik,FO,62.23,-6.59,53.6,81,87,17.22,overcast clouds
180,Richards Bay,ZA,-28.78,32.04,61.03,68,75,2.98,broken clouds
181,Kawalu,ID,-7.38,108.21,71.4,88,97,0.65,overcast clouds
182,Filingue,NE,14.35,3.32,92.12,39,34,7.05,scattered clouds
183,Aracati,BR,-4.56,-37.77,92.3,35,0,15.26,clear sky
184,Khatanga,RU,71.97,102.5,42.01,87,0,11.99,clear sky
185,Ust-Nera,RU,64.57,143.2,44.44,78,100,1.74,overcast clouds
186,Praxedis Guerrero,MX,31.37,-106.02,82.4,42,90,9.17,overcast clouds
187,Ponta Do Sol,PT,32.67,-17.1,75.2,57,20,18.34,few clouds
188,Sujiatun,CN,41.66,123.34,71.6,100,90,6.71,moderate rain
189,Novyy Urgal,RU,51.07,132.56,52.81,97,100,2.24,light rain
190,Tautira,PF,-17.73,-149.15,71.6,83,20,2.24,few clouds
191,Port Lincoln,AU,-34.73,135.87,50.25,78,45,15.43,scattered clouds
192,Severo-Kurilsk,RU,50.68,156.12,48.02,84,10,9.8,clear sky
193,Sao Joao Da Barra,BR,-21.64,-41.05,80.6,65,20,13.87,few clouds
194,Sao Filipe,CV,14.9,-24.5,77.25,78,73,9.73,broken clouds
195,Berbera,SO,10.44,45.01,95.09,42,0,7.78,clear sky
196,Makakilo City,US,21.35,-158.09,78.8,73,40,5.82,scattered clouds
197,Luangwa,ZM,-15.62,30.42,87.1,27,0,7.85,clear sky
198,Braesti,RO,47.15,27.1,95.0,21,0,4.7,clear sky
199,Phulabani,IN,20.47,84.23,76.75,90,97,2.06,overcast clouds
200,Kuching,MY,1.55,110.33,78.8,94,20,4.7,few clouds
201,Gravdal,NO,68.12,13.5,51.8,71,75,18.34,shower rain
202,Nerchinskiy Zavod,RU,51.31,119.61,51.24,94,89,1.99,overcast clouds
203,Kushmurun,KZ,52.45,64.63,74.93,41,1,3.06,clear sky
204,College,US,64.86,-147.8,52.0,81,75,3.36,broken clouds
205,Jamestown,US,42.1,-79.24,71.01,72,20,6.93,few clouds
206,Marfino,RU,55.7,37.38,82.4,47,84,8.95,broken clouds
207,Torbay,CA,47.67,-52.73,64.99,82,75,26.4,broken clouds
208,Kindu,CD,-2.95,25.95,77.63,84,33,1.07,light rain
209,Amapa,BR,1.0,-52.0,93.83,39,0,6.49,clear sky
210,Yar-Sale,RU,66.83,70.83,46.98,76,100,15.35,overcast clouds
211,Sembakung,ID,3.82,117.25,74.82,92,75,1.81,broken clouds
212,Santa Maria,BR,-29.68,-53.81,55.4,66,20,13.87,few clouds
213,Los Llanos De Aridane,ES,28.66,-17.92,77.0,61,20,16.11,few clouds
214,Mumbwa,ZM,-14.98,27.06,82.02,18,6,5.73,clear sky
215,Paragould,US,36.06,-90.5,81.0,94,75,6.93,broken clouds
